amfi_code,scheme_name,fund_house,category,return_1yr_pct,return_3yr_pct,return_5yr_pct
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.42,12.36,14.45
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,15.25,11.3,14.23
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,24.56,23.39,20.67
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,20.59,23.14,21.82
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,5.34,6.07,5.43
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,10.94,14.84,11.32
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,11.48,13.38,13.48
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,15.43,16.58,17.69
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,19.98,15.29,15.85
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,6.83,7.37,6.41
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,15.63,11.54,11.46
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.12,14.41,13.02
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,14.02,18.08,17.55
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,16.67,14.76,12.6
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,8.89,7.68,7.94
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,15.84,14.0,14.7
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,14.42,12.33,14.72
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,21.3,20.15,21.88
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,10.14,11.77,12.31
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,6.19,5.31,8.71
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,14.37,12.25,13.42
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,17.12,18.23,17.75
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.74,15.65,13.5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,4.26,6.18,8.26
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.82,11.84,14.14
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,13.95,12.14,13.66
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,14.88,15.18,18.94
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,21.97,20.98,22.62
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,14.82,13.78,12.86
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,24.93,22.38,23.8
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,6.18,5.14,7.95
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,13.76,12.1,11.31
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,16.3,15.61,15.86
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,17.43,15.34,15.78
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,15.12,14.81,12.68
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.91,14.56,15.68
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,11.16,13.58,14.26
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,11.96,12.82,12.35
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,14.12,17.16,19.0
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.2,20.08,20.61
